1452115853319,7,3,
1452115853336,7,3,
1452115853352,7,3,
1452115853360,7,3,
1452115853367,7,3,
1452115853378,7,3,
1452115853384,7,3,
1452115853402,7,3,
1452115853408,7,3,
1452115853429,7,3,
1452115853441,7,3,
1452115853449,7,3,
1452115853456,7,3,
1452115853464,7,3,
1452115853474,7,3,
1452115853479,7,3,
1452115853488,7,3,
1452115853497,7,3,
1452115853503,7,3,
1452115853691,7,3,
1452115853696,7,3,
1452115853705,7,3,
1452115853711,7,3,
1452115853719,7,3,
1452115853727,7,3,
1452115853748,7,3,
1452115853799,7,3,
1452115853753,7,3,
1452115853792,7,3,
1452115853776,7,3,
1452115853759,7,3,
1452115853767,7,3,
1452115853810,7,3,
1452115853816,7,3,
1452115853824,7,3,
1452115853833,7,3,
1452115853839,7,3,
1452115853863,7,3,
1452115853872,7,3,
1452115853883,7,3,
1452115853888,7,3,
1452115853914,7,3,
1452115853903,7,3,
1452115853897,7,3,
1452115853920,7,3,
1452115853930,7,3,
1452115853936,7,3,
1452115853943,7,3,
1452115853956,7,3,
1452115853960,7,3,
1452115853967,7,3,
1452115853976,7,3,
1452115853990,7,3,
1452115853995,7,3,
1452115853999,7,3,
1452115854007,7,3,
1452115854015,7,3,
1452115854032,7,3,
1452115854027,7,3,
1452115854042,7,3,
1452115854047,7,3,
1452115854056,7,3,
1452115854084,7,3,
1452115854090,7,3,
1452115854095,7,3,
1452115854105,7,3,
1452115854117,7,3,
1452115854121,7,3,
1452115854132,7,3,
1452115854137,7,3,
1452115854145,7,3,
1452115854151,7,3,
1452115854161,7,3,
1452115854170,7,3,
1452115854175,7,3,
1452115854189,7,3,
1452115854194,7,3,
1452115854205,7,3,
1452115854209,7,3,
1452115854215,7,3,
1452115854228,7,3,
1452115854233,7,3,
1452115854245,7,3,
1452115854249,7,3,
1452115854255,7,3,
1452115854263,7,3,
1452115854271,7,3,
1452115854283,7,3,
1452115854287,7,3,
1452115854297,7,3,
1452115854303,7,3,
1452115854311,7,3,
1452115854321,7,3,
1452115854327,7,3,
1452115854336,7,3,
1452115854351,7,3,
1452115854464,7,3,
1452115854480,7,3,
1452115854495,7,3,
1452115854503,7,3,
1452115854519,7,3,
1452115854551,7,3,
1452115854568,4,3,
1452115854615,7,3,
1452115854689,5,3,
